offset,text
0,"The biggest game in club football. Welcome to Munich. The home of Bayern.. and some home it is."
1,"One very bold selection. Cech - Bosingwa Cahill Luiz Cole - Mikel Lampard - Kalou Mata Bertrand - Drogba."
1,"Kick off moments away here in Munich."
1,"Unser pokal. They said..."
1,"The players are on the pitch. Underdogs vs the hosts."
1,"The music. The flags..."
1,"1' - Lampard to Drogba and we are under way! 29 seconds and Kroos is down from a Cole foul. Game on."
1,"Bastian booked Ribery down the wing goes to cross misses the ball and collapses in front of the Chelsea fans."
2,"5' - Already 5 minutes in fast start from Munich Chelsea yet to settle."
3,"Kalou does well beats three. Finds Drogba but over hits the cross. Out of reach of champions league débutante Bertrand."
1,"The last time #Chelsea were in a champions league final Bertrand was just ending his loan at Oldham Athletic"
1,"10' - 10 minutes in and Drogba comes deep to rob Ribery and wins the free-kick"
4,"Chelsea fans in fine voice 15 minutes in Cech goes long to Drogba but Bayern win second and third balls and break. Chelsea sat deep"
5,"Pressure building. Bossie misses his kick another corner. Cech leaps and clears."
2,"20' - 20 minutes Robben shoots Cech keeps it out via the woodwork corner cleared first scare."
1,"Chelsea break Kalou offside Chelsea return to their shape quickly."
3,"24'- 24 minutes in 7 corners to Bayern latest well claimed by big Pete."
1,"28'- 28 Robben free-kick hits the wall."
1,"Quick passing from Chelsea sees Bertrand one on one with Lahm who stands strong to block our man 30 minutes in 0-0"
2,"Bosingwa reads the pull back and intercepts. Ball falls to Cech who boots to half way. Chelsea end us with free-kick on the edge of the box"
2,"Cahill fouled Mata takes up and over the wall sadly it goes over the bar too."
2,"Ribery shoots wide 35 minutes in. Seconds later Muller volleys wide. Chance after chance now but all lacking the quality to open scoring"
2,"Lampard finds Drogba but the Ivorian can't get the ball under control. Chance gone as Kalou tries to beat two"
2,"Another attack find Kalou with more space his shot at the near post forces a save. 0-0 38'"
2,"Ribery volley sliced and falls to Muller who doesn't react quickly enough."
2,"Mario Gomez blasts over after a Penalty shout after Luiz is a tad late ballooned over the bar best chance so far."
1,"Almost HT now fast first half. Chelsea fans sing about Dennis Wise. Loud and clear  no real clear chances since Kalou's shot."
15,"HT Bayern 0 Chelsea 0."
1,"46' - Second half under way. Chelsea attacking towards our own fans."
4,"Bayern keeper out quickly to stop Kalou getting on the end of Lampard's through ball."
1,"50' - 50th minute Drogba blasts one at goal. Well wide but hit sweetly"
4,"Robben shoots. Cole blocks but it falls to Ribery who puts it in. Offside flag saves the blues. 0-0. 54'"
4,"Kroos takes on a shot from range. Wasted. 56' tension building."
5,"60' - Another Bayern corner. Drogba heads behind for another. One hour in. Standing strong."
2,"65' - Lampard tries to find Drogba Bayern making it hard to link up."
5,"Muller tries to beat Cole. He can't excellent defence again. Another corner leads to another corner."
2,"72 ' Malouda being readied to replace Bertrand. Drogba rolls a challenge but cross cleared. Bertrand's name sung loud and proud"
0,"72 - SUB : Bertrand off - Malouda on"
1,"Neuer fumbles Drogba screws his. Shot 73'"
2,"75' - Cole block slices upand Cech tips it over the bar. Another corner. Under real pressure now."
3,"77' - Muller has time and space takes it early and screwed wide. 0-0."
1,"80' - Cole booked."
1,"Robben cross Muller climbing over Cech to get on the end of it. Warning."
1,"Next cross and Muller scores. 8 minutes to go. 1-0. Chelsea really do need a hero now."
0,"83' - GOAL - Muller."
0,"Torres ready to come on."
0,"Kalou off as the PA goes mental. Muller Muller Muller over and over again."
1,"Luiz booked for a clumsy foul on Robben. 85 minutes gone 1-0."
1,"Muller is off and celebrates like he's won it."
1,"Mata finds Torres who runs the line and falls but wins the corner."
1,"Mata. Drogbaaaaaaaaaaaaaaaa  what about that. Thunderous header. He's done it. The big man for the big occasion. 1-1."
0,"88' - GOAL -  Drogba."
3,"9 goals in 9 cup finals. Didier Drogba. 1-1."
5,"Drogba free-kick last chance to win it here and now but blasts over. FT 1-1. Extra time needed."
1,"ET under way the 5 previous finals that needed extra time were settled on penalties."
1,"Torres drives into the box is bundled over but gets up to chase the ball."
2,"Drogba from behind. Trips Ribery who collapses. Penalty. Robben to take. #formerblue"
2,"CECH SAAAAAAAAAAVE !!!!!!!"
0,"This is unbelievable brilliant stop. Robben blast over with his next chance. Big Pete. Hero. 1-1."
