minute,offset,text
01,0,"The biggest game in club football. Welcome to Munich. The home of Bayern.. and some home it is."
02,0,"One very bold selection. Cech - Bosingwa Cahill Luiz Cole - Mikel Lampard - Kalou Mata Bertrand - Drogba."
03,0,"Kick off moments away here in Munich."
04,0,"Unser pokal. They said..."
05,0,"The players are on the pitch. Underdogs vs the hosts."
06,0,"The music. The flags..."
07,0,"Lampard to Drogba and we are under way! 29 seconds and Kroos is down from a Cole foul. Game on."
08,0,"Bastian booked Ribery down the wing goes to cross misses the ball and collapses in front of the Chelsea fans."
09,0,"Already 5 minutes in fast start from Munich Chelsea yet to settle."
10,0,"Kalou does well beats three. Finds Drogba but over hits the cross. Out of reach if champions league débutante Bertrand."
11,0,"The last time #Chelsea were in a champions league final Bertrand was just ending his loan at Oldham Athletic"
12,0,"10 minutes in and Drogba comes deep to rob Ribery and wins the free-kick"
13,0,"Chelsea fans in fine voice 15 minutes in Cech goes long to Drogba but Bayern win second and third balls and break. Chelsea sat deep"
14,0,"Pressure building. Bossie misses his kick another corner. Cech leaps and clears."
15,0,"20 minutes Robben shoots Cech keeps it out via the woodwork corner cleared first scare."
16,0,"Chelsea break Kalou offside Chelsea return to their shape quickly."
17,0,"24 minutes in 7 corners to Bayern latest well claimed by big Pete."
18,0,"28' Robben free-kick hits the wall."
19,0,"Quick passing from Chelsea sees Bertrand one on one with Lahm who stands strong to block our man 30 minutes in 0-0"
20,0,"Bosingwa reads the pull back and intercepts. Ball falls to Cech who boots to half way. Chelsea end us with free-kick on the edge of the box"
21,0,"Cahill fouled Mata takes up and over the wall sadly it goes over the bar too."
22,0,"Ribery shoots wide 35 minutes in. Seconds later Muller volleys wide. Chance after chance now but all lacking the quality to open scoring"
23,0,"Lampard finds Drogba but the Ivorian can't get the ball under control. Chance gone as Kalou tries to beat two"
24,0,"Another attack find Kalou with more space his shot at the near post forces a save. 0-0 38'"
25,0,"Ribery volley sliced and falls to Muller who doesn't react quickly enough."
26,0,"Mario Gomez blasts over after a Penalty shout after Luiz is a tad late ballooned over the bar best chance so far."
27,0,"Almost HT now fast first half. Chelsea fans sing about Dennis Wise. Loud and clear  no real clear chances since Kalou's shot."
28,0,"HT Bayern 0 Chelsea 0."
29,0,"Second half under way. Chelsea attacking towards our own fans."
30,0,"Bayern keeper out quickly to stop Kalou getting on the end of Lampard's through ball."
31,0,"50th minute Drogba blasts one. Well wide but hit sweetly"
32,0,"Robben shoots. Cole blocks but it falls to Ribery who puts it in. Offside flag saves the blues. 0-0. 54'"
33,0,"Kroos takes on a shot from range. Wasted. 56' tension building."
34,0,"60' and another Bayern corner. Drogba heads behind for another. One hour in. Standing strong."
35,0,"65' Lampard tries to find Drogba Bayern making it hard to link up."
36,0,"Muller tries to beat Cole. He can't excellent defence again. Another corner leads to another corner."
37,0,"72 ' Malouda being readied to replace Bertrand Drogba rolls a challenge cross cleared. Bertrand's name sung loud and proud"
38,0,"Neuer fumbles Drogba screws his. Shot 73'"
39,0,"75' Cole block slices upand Cech tips it over the bar. Another corner. Under real pressure now."
40,0,"77' Muller has time and space takes it early and screwed wide. 0-0."
41,0,"80' Cole booked."
42,0,"Robben cross Muller climbing over Cech to get on the end of it. Warning."
43,0,"Next cross and Muller scores. 8 minutes to go. 1-0. Chelsea really do need a hero now."
44,0,"Torres ready to come on."
45,0,"Kalou off as the PA goes mental over Muller Muller Muller."
46,0,"Luiz booked for a clumsy foul on Robben. 85 minutes gone 1-0."
47,0,"Muller is off and celebrates like he's won it."
48,0,"Mata finds Torres who runs the line and falls but wins the corner."
49,0,"Mata. Drogbaaaaaaaaaaaaaaaa  what about that. Thunderous header. He's done it. The big man for the big occasion. 1-1."
50,0,"9 goals in 9 cup finals. Didier Drogba. 1-1."
51,0,"Drogba free-kick last chance to win it here and now but blasts over. FT 1-1. Extra time needed."
52,0,"ET under way the 5 previous finals that needed extra time were settled on penalties."
53,0,"Torres drives into the box is bundled over but gets up to chase the ball."
54,0,"Drogba from behind. Trips Ribery who collapses. Penalty. Robben to take. #formerblue"
55,0,"CECH SAAAAAAAAAAVE !!!!!!!"
56,0,"This is unbelievable brilliant stop. Robben blast over with his next chance. Big Pete. Hero. 1-1."
57,0,"Ribery is gone . Olic on. Luiz avoids a second yellow."
